Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder,Format
Mono Green Aggro,http://www.mtgtop8.com/event?e=27096&d=413049&f=PAU,SacredDevil,257,54,9.95,24,PAU
Jeskai Affinity,http://www.mtgtop8.com/event?e=27253&d=414545&f=PAU,Bobaraujo,42,271,9.95,26,PAU
Affinity,http://www.mtgtop8.com/event?e=27248&d=414475&f=PAU,Fuguete,49,279,9.95,26,PAU
Atog Affinity,http://www.mtgtop8.com/event?e=27357&d=416952&f=PAU,Hamuda,50,157,9.95,31,PAU
Atog Affinity,http://www.mtgtop8.com/event?e=27166&d=413726&f=PAU,Nammersquats,50,68,9.95,45,PAU
Jeskai Affinity,http://www.mtgtop8.com/event?e=27206&d=414070&f=PAU,Lordlufrew,46,277,9.95,28,PAU
Affinity,http://www.mtgtop8.com/event?e=27369&d=417053&f=PAU,Samaggy,36,197,9.95,18,PAU
Atog Affinity,http://www.mtgtop8.com/event?e=27167&d=413743&f=PAU,Hamuda,42,205,9.95,36,PAU
Mono Green Aggro,http://www.mtgtop8.com/event?e=27167&d=413751&f=PAU,SacredDevil,257,54,9.95,24,PAU
Affinity,http://www.mtgtop8.com/event?e=27009&d=411628&f=PAU,Vinicius Bastos,35,102,9.95,22,PAU
Temur Affinity,http://www.mtgtop8.com/event?e=26726&d=407026&f=PAU,Murilo Zimmermann,35,101,9.95,21,PAU
Burn,http://www.mtgtop8.com/event?e=27405&d=417459&f=PAU,Rodrigo Richter,64,356,9.95,29,PAU
Atog Affinity,http://www.mtgtop8.com/event?e=26918&d=409976&f=PAU,Rafaeljesus,42,273,9.95,32,PAU
Burn,http://www.mtgtop8.com/event?e=27357&d=416959&f=PAU,HeWhoIsInTheWater,62,363,9.95,19,PAU
Burn,http://www.mtgtop8.com/event?e=27354&d=416928&f=PAU,Callad0,62,352,9.95,15,PAU
Burn,http://www.mtgtop8.com/event?e=27009&d=411630&f=PAU,Bruno Bordin,62,352,9.95,18,PAU
Burn,http://www.mtgtop8.com/event?e=27166&d=413739&f=PAU,Kaleidocops,62,351,9.95,16,PAU
Burn,http://www.mtgtop8.com/event?e=27439&d=417916&f=PAU,Peixao4247j,62,351,9.95,16,PAU
Burn,http://www.mtgtop8.com/event?e=27166&d=413725&f=PAU,Mcleskey,62,362,9.95,16,PAU
Burn,http://www.mtgtop8.com/event?e=27249&d=414483&f=PAU,Wdf,61,351,9.95,16,PAU
WW Heroics,http://www.mtgtop8.com/event?e=27444&d=417968&f=PAU,Kidsliver,27,31,9.95,8,PAU
Burn,http://www.mtgtop8.com/event?e=26990&d=411418&f=PAU,Protossido,70,360,9.95,29,PAU
WW Heroics,http://www.mtgtop8.com/event?e=27444&d=417969&f=PAU,Christaren,35,38,9.95,17,PAU
Mono White Heroic,http://www.mtgtop8.com/event?e=27369&d=417050&f=PAU,Christaren,35,38,9.95,17,PAU
Goblins,http://www.mtgtop8.com/event?e=27439&d=417912&f=PAU,Jeremiaa,48,410,9.95,28,PAU
Mono White Heroic,http://www.mtgtop8.com/event?e=27234&d=414338&f=PAU,Doval Júnior,28,30,9.95,10,PAU
Red Deck Wins,http://www.mtgtop8.com/event?e=27369&d=417052&f=PAU,Lucas_tostes,36,372,9.95,9,PAU
WW Heroics,http://www.mtgtop8.com/event?e=27166&d=413727&f=PAU,lokarionn,28,34,9.95,14,PAU
Mono White Heroic,http://www.mtgtop8.com/event?e=27253&d=414546&f=PAU,Ravisor,31,36,9.95,11,PAU
Red Deck Wins,http://www.mtgtop8.com/event?e=27167&d=413748&f=PAU,Mordred_,35,323,9.95,7,PAU
Red Deck Wins,http://www.mtgtop8.com/event?e=27369&d=417051&f=PAU,Masterofphysics,37,396,9.95,10,PAU
Mono White Heroic,http://www.mtgtop8.com/event?e=27253&d=414552&f=PAU,Christaren,35,38,9.95,13,PAU
Mono White Heroic,http://www.mtgtop8.com/event?e=27206&d=414065&f=PAU,Christaren,35,37,9.95,13,PAU
Red Deck Wins,http://www.mtgtop8.com/event?e=26918&d=409975&f=PAU,Fagner,37,401,9.95,29,PAU
Monoblack Control,http://www.mtgtop8.com/event?e=27253&d=414551&f=PAU,Matthawk,28,52,9.95,4,PAU
Red Deck Wins,http://www.mtgtop8.com/event?e=27401&d=417426&f=PAU,Ohnishi Shuto,46,339,9.95,37,PAU
Monoblack Control,http://www.mtgtop8.com/event?e=27009&d=411631&f=PAU,Guilherme Dos Santos,35,57,9.95,40,PAU
Mono Black Aggro,http://www.mtgtop8.com/event?e=26688&d=406657&f=PAU,lujo86,21,47,9.95,4,PAU
Devotion to Black,http://www.mtgtop8.com/event?e=26990&d=411416&f=PAU,Raptor56,59,83,9.95,83,PAU
Monoblack Control,http://www.mtgtop8.com/event?e=27369&d=417055&f=PAU,Impatientraveller,39,49,9.95,63,PAU
Devotion to Black,http://www.mtgtop8.com/event?e=27439&d=417914&f=PAU,Matthawk,28,52,9.95,4,PAU
White Weenie,http://www.mtgtop8.com/event?e=27253&d=414547&f=PAU,Lordlufrew,26,32,9.95,5,PAU
