Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder,Format
Red Deck Wins,http://www.mtgtop8.com/event?e=27340&d=416778&f=ST,Jeffrey Morra,153,128,9.95,57,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27329&d=416545&f=ST,thinenagooyen,179,209,34.95,75,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27329&d=416551&f=ST,Mogged,203,239,9.95,70,ST
Mono Green Aggro,http://www.mtgtop8.com/event?e=27348&d=416855&f=ST,Elijah Woodbury,189,220,34.95,87,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27349&d=416870&f=ST,Lucas Garofolo,153,128,9.95,50,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27348&d=416859&f=ST,Tyler Heule,151,119,9.95,49,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27448&d=418011&f=ST,jankyb,148,120,9.95,48,ST
Red Deck Wins,http://www.mtgtop8.com/event?e=27258&d=414578&f=ST,empen,154,132,9.95,50,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27229&d=414274&f=ST,Hosokawa Yuuya,214,229,9.95,106,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27386&d=417206&f=ST,Iwamoto Junji,221,202,9.95,90,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27143&d=413502&f=ST,Zack Fink,251,221,9.95,85,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27317&d=416412&f=ST,Tarik Browne,229,243,9.95,114,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27390&d=417318&f=ST,Mitch Evett,259,229,34.95,170,ST
Winota,http://www.mtgtop8.com/event?e=27001&d=411527&f=ST,Rashid Davis,284,290,34.95,142,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27340&d=416776&f=ST,Theshunned,231,259,9.95,45,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27379&d=417143&f=ST,Xuxa,191,198,9.95,67,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27423&d=417733&f=ST,Morii Kenta,249,253,34.95,134,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27379&d=417148&f=ST,bolov0,190,190,9.95,55,ST
Winota,http://www.mtgtop8.com/event?e=27194&d=413960&f=ST,Paulo Henrique Santos,270,277,9.95,98,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27329&d=416547&f=ST,msskinbolic,189,189,9.95,55,ST
Winota,http://www.mtgtop8.com/event?e=26961&d=410965&f=ST,Angel_of_grace,265,274,9.95,91,ST
Winota,http://www.mtgtop8.com/event?e=27030&d=411807&f=ST,Spencer Howland,114,121,9.95,47,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27231&d=414305&f=ST,Promidnightz,227,227,9.95,99,ST
Winota,http://www.mtgtop8.com/event?e=27386&d=417204&f=ST,Kikuchi?shuji,184,182,9.95,70,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27308&d=416295&f=ST,Suzuki Makoto,204,197,34.95,127,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27433&d=417849&f=ST,Florian Klein,241,205,34.95,165,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27348&d=416852&f=ST,Zack Fink,242,212,9.95,81,ST
Winota,http://www.mtgtop8.com/event?e=27157&d=413659&f=ST,Inaste Noquar,254,264,9.95,77,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27231&d=414297&f=ST,_Falcon_,217,221,9.95,94,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27329&d=416550&f=ST,Oliver_Hart,200,209,9.95,86,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27231&d=414304&f=ST,rastaf,189,189,9.95,55,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27231&d=414298&f=ST,Thommimp,182,185,9.95,61,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27329&d=416549&f=ST,_Falcon_,189,189,9.95,56,ST
Rakdos Aggro,http://www.mtgtop8.com/event?e=27231&d=414296&f=ST,pokerswizard,227,227,9.95,99,ST
Winota,http://www.mtgtop8.com/event?e=27329&d=416554&f=ST,paucr5,270,277,9.95,98,ST
Winota,http://www.mtgtop8.com/event?e=27258&d=414591&f=ST,wilson5434,270,277,9.95,98,ST
Winota,http://www.mtgtop8.com/event?e=27258&d=414580&f=ST,GYBA,254,264,9.95,77,ST
6 Winota,http://www.mtgtop8.com/event?e=27042&d=412052&f=ST,Mitch Sachs,329,308,34.95,110,ST
Winota,http://www.mtgtop8.com/event?e=26898&d=409716&f=ST,Case Johnson,218,186,9.95,88,ST
Winota,http://www.mtgtop8.com/event?e=26938&d=410258&f=ST,Theresa Connah-haymond,218,186,9.95,88,ST
Winota,http://www.mtgtop8.com/event?e=26878&d=409542&f=ST,David Pierce,261,274,9.95,90,ST
Winota,http://www.mtgtop8.com/event?e=26881&d=409573&f=ST,Mitch Sachs,334,311,34.95,110,ST
Temur Flash,http://www.mtgtop8.com/event?e=27040&d=411922&f=ST,Luke Hartmann,500,492,34.95,251,ST
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27136&d=413459&f=ST,Shawn Montgomery,712,845,34.95,288,ST
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27302&d=416231&f=ST,Ignacio Villasuso,719,843,59.95,284,ST
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27239&d=414371&f=ST,Jeffrey Lynch,719,850,59.95,284,ST
Temur Aggro,http://www.mtgtop8.com/event?e=27418&d=417651&f=ST,Mooch,434,360,34.95,280,ST
Temur Flash,http://www.mtgtop8.com/event?e=27157&d=413656&f=ST,Gustavo Martins Da Silva,471,463,34.95,255,ST
Temur Aggro,http://www.mtgtop8.com/event?e=27246&d=414459&f=ST,Sawada Ken,389,390,34.95,193,ST
Winota,http://www.mtgtop8.com/event?e=26969&d=411150&f=ST,Adam B,366,357,34.95,199,ST
Temur Flash Aggro,http://www.mtgtop8.com/event?e=27307&d=416278&f=ST,Gustavo Martins Da Silva,454,452,34.95,228,ST
Winota,http://www.mtgtop8.com/event?e=26969&d=411154&f=ST,Theresa Connah-haymond,218,186,9.95,88,ST
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27133&d=413424&f=ST,Shawn Montgomery,699,821,34.95,284,ST
Temur Flash Aggro,http://www.mtgtop8.com/event?e=27014&d=411681&f=ST,Alac Springer,513,508,34.95,253,ST
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27225&d=414246&f=ST,Bombhunter12,648,724,34.95,232,ST
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27239&d=414385&f=ST,Bombhunter12,648,728,34.95,232,ST
Winota,http://www.mtgtop8.com/event?e=26945&d=410316&f=ST,David Pierce,148,150,9.95,76,ST
Temur Aggro,http://www.mtgtop8.com/event?e=27424&d=417747&f=ST,Mooch,435,365,34.95,282,ST
6 Temur Elemental,http://www.mtgtop8.com/event?e=27045&d=412519&f=ST,S S,593,603,59.95,271,ST
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27225&d=414256&f=ST,Jeffrey Lynch,719,843,59.95,284,ST
Temur Elemental,http://www.mtgtop8.com/event?e=27005&d=411567&f=ST,Santos Nic,649,702,59.95,283,ST
Winota,http://www.mtgtop8.com/event?e=26902&d=409762&f=ST,Guido Quintana,264,274,9.95,82,ST
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27037&d=411902&f=ST,Lucas Otuzi,732,845,59.95,302,ST
Temur Elemental,http://www.mtgtop8.com/event?e=27037&d=411903&f=ST,Vitor Botechi,556,548,34.95,263,ST
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27045&d=412548&f=ST,Takumi Yamasaki,679,801,34.95,265,ST
Temur Flash Aggro,http://www.mtgtop8.com/event?e=27034&d=411882&f=ST,Gustavo Martins Da Silva,515,505,34.95,272,ST
Winota,http://www.mtgtop8.com/event?e=26930&d=410187&f=ST,Mitch Sachs,334,312,34.95,110,ST
6 Winota,http://www.mtgtop8.com/event?e=26930&d=410175&f=ST,Simon Nielsen,273,282,9.95,73,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=27321&d=416462&f=ST,Matheus Da Silva,108,130,9.95,60,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=27423&d=417729&f=ST,Matsushika Kouhei,100,105,9.95,59,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=27194&d=413962&f=ST,Matheus Da Silva,140,148,9.95,71,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=27423&d=417735&f=ST,Iwamoto Daisuke,97,102,9.95,30,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=27142&d=413499&f=ST,Yamada Tsuyoki,155,160,9.95,78,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=26957&d=410921&f=ST,Sven Restel,118,126,9.95,92,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=27027&d=411776&f=ST,Yojiro Futamata,120,119,9.95,67,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=27071&d=412753&f=ST,David Pierce,122,129,9.95,94,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=27142&d=413496&f=ST,Kikuchi Shuji,139,143,9.95,75,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=26835&d=408562&f=ST,Kikuchi Shuji,138,142,9.95,69,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=26834&d=408556&f=ST,Jerome Cruz,18,34,9.95,2,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=26802&d=408036&f=ST,Marcelo Adao,102,110,9.95,62,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=26735&d=407273&f=ST,Allan Araujo Gontijo,97,102,9.95,56,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=26825&d=408459&f=ST,Alejandro Solís,117,121,9.95,71,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=26734&d=407264&f=ST,Claudio De Marco,96,102,9.95,56,ST
Gruul Adventure Aggro,http://www.mtgtop8.com/event?e=27434&d=417853&f=ST,Carlos Lopez,327,232,34.95,146,ST
Gruul Aggro,http://www.mtgtop8.com/event?e=27303&d=416235&f=ST,Ignacio Valenzuela,292,268,9.95,100,ST
Gruul Aggro,http://www.mtgtop8.com/event?e=27393&d=417363&f=ST,Robert Taylor,397,268,34.95,218,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=26731&d=407223&f=ST,Allen Sun,125,132,9.95,72,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=26968&d=411139&f=ST,Oda Masao,85,101,9.95,55,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=26826&d=408466&f=ST,Alejandro Solís,117,120,9.95,71,ST
Gruul Aggro,http://www.mtgtop8.com/event?e=27445&d=417987&f=ST,Howen King,80,84,9.95,33,ST
Gruul Aggro,http://www.mtgtop8.com/event?e=27386&d=417209&f=ST,Mamada Chikashi,264,225,9.95,89,ST
Gruul Aggro,http://www.mtgtop8.com/event?e=27168&d=413764&f=ST,Thanh Van,33,48,9.95,10,ST
Gruul Aggro,http://www.mtgtop8.com/event?e=27458&d=418143&f=ST,Simon Nielsen,438,338,34.95,193,ST
Gruul Aggro,http://www.mtgtop8.com/event?e=27346&d=416843&f=ST,Carlos Baeza,304,293,34.95,123,ST
Gruul Adventure Aggro,http://www.mtgtop8.com/event?e=27418&d=417650&f=ST,Rezedentgenius,352,298,34.95,120,ST
Mono Black Aggro,http://www.mtgtop8.com/event?e=26766&d=407603&f=ST,Gage Bunting,97,104,9.95,57,ST
6 Mono Black Aggro,http://www.mtgtop8.com/event?e=26950&d=410838&f=ST,Reamonn Behal,106,113,9.95,68,ST
Gruul Aggro,http://www.mtgtop8.com/event?e=27390&d=417316&f=ST,Zachary Borotsik,413,258,34.95,192,ST
Gruul Aggro,http://www.mtgtop8.com/event?e=27390&d=417320&f=ST,Tom Maxwell,397,269,34.95,217,ST
Gruul Aggro,http://www.mtgtop8.com/event?e=27408&d=417479&f=ST,Gino Bautista,397,269,34.95,218,ST
Gruul Aggro,http://www.mtgtop8.com/event?e=27408&d=417491&f=ST,Jason Fleurant,392,274,34.95,216,ST
6 Gruul Aggro,http://www.mtgtop8.com/event?e=27390&d=417276&f=ST,Brandon Lee,297,255,34.95,127,ST
Gruul Aggro,http://www.mtgtop8.com/event?e=27381&d=417156&f=ST,Humberto Casagrande,499,448,34.95,182,ST
6 Gruul Aggro,http://www.mtgtop8.com/event?e=27390&d=417278&f=ST,Beesuitpoogie,364,249,34.95,143,ST
Gruul Adventure Aggro,http://www.mtgtop8.com/event?e=27036&d=411891&f=ST,Suzuki Makoto,335,310,34.95,123,ST
Gruul Adventure Aggro,http://www.mtgtop8.com/event?e=27048&d=412588&f=ST,Paulo Chiozzani,282,252,34.95,92,ST
Gruul Aggro,http://www.mtgtop8.com/event?e=27082&d=412906&f=ST,Suzuki Makoto,290,266,34.95,116,ST
UR Aggro,http://www.mtgtop8.com/event?e=27324&d=416496&f=ST,Joeri Claes,61,101,9.95,23,ST
Gruul Adventure Aggro,http://www.mtgtop8.com/event?e=26850&d=409233&f=ST,Andrew Macarico,291,256,9.95,80,ST
Simic Flash,http://www.mtgtop8.com/event?e=26923&d=410017&f=ST,Luis Gustavo Gomes Pereira,419,424,59.95,280,ST
UR Aggro,http://www.mtgtop8.com/event?e=26880&d=409561&f=ST,Cameron Sullivan,124,145,9.95,66,ST
Simic Aggro,http://www.mtgtop8.com/event?e=27317&d=416416&f=ST,Antonio Trujillo,161,176,34.95,91,ST
UR Aggro,http://www.mtgtop8.com/event?e=26877&d=409532&f=ST,Ward Beutels,33,59,9.95,4,ST
UR Aggro,http://www.mtgtop8.com/event?e=26846&d=409171&f=ST,Cameron Sullivan,109,132,9.95,63,ST
UR Aggro,http://www.mtgtop8.com/event?e=26816&d=408323&f=ST,Brendon Hansard,215,223,34.95,164,ST
UR Aggro,http://www.mtgtop8.com/event?e=26988&d=411393&f=ST,Thijs Weytens,35,70,9.95,21,ST
UR Aggro,http://www.mtgtop8.com/event?e=27004&d=411552&f=ST,Gen_kie,149,164,34.95,126,ST
UR Aggro,http://www.mtgtop8.com/event?e=26834&d=408560&f=ST,Leomar Rebollido,26,51,9.95,2,ST
UR Aggro,http://www.mtgtop8.com/event?e=27122&d=413316&f=ST,Oono Eisuke,171,191,34.95,152,ST
Simic Aggro,http://www.mtgtop8.com/event?e=27295&d=416182&f=ST,Igor,74,107,9.95,52,ST
UR Aggro,http://www.mtgtop8.com/event?e=27082&d=412907&f=ST,Kobayashi Hironori,134,161,34.95,104,ST
UR Aggro,http://www.mtgtop8.com/event?e=27055&d=412655&f=ST,rastaf,152,174,34.95,126,ST
UR Aggro,http://www.mtgtop8.com/event?e=26911&d=409877&f=ST,Michael Bonde,124,145,9.95,66,ST
UR Aggro,http://www.mtgtop8.com/event?e=27067&d=412714&f=ST,Elijah Woodbury,134,159,34.95,104,ST
UR Aggro,http://www.mtgtop8.com/event?e=26868&d=409444&f=ST,Martin Stübe,158,172,34.95,138,ST
Simic Flash,http://www.mtgtop8.com/event?e=26947&d=410321&f=ST,Yamaguchi Kazuhiro,109,122,9.95,92,ST
UR Aggro,http://www.mtgtop8.com/event?e=26950&d=410843&f=ST,Anthony Arevalo,134,157,34.95,104,ST
UR Aggro,http://www.mtgtop8.com/event?e=26917&d=409966&f=ST,Matsuo Shintarou,137,160,34.95,109,ST
UR Aggro,http://www.mtgtop8.com/event?e=27006&d=411586&f=ST,Martinlichking,134,160,34.95,104,ST
UR Aggro,http://www.mtgtop8.com/event?e=27082&d=412904&f=ST,Oinuma Yutaka,156,173,34.95,128,ST
Simic Flash,http://www.mtgtop8.com/event?e=26911&d=409878&f=ST,Martin Stübe,308,307,34.95,160,ST
Simic Aggro,http://www.mtgtop8.com/event?e=27194&d=413961&f=ST,Christopher Caravello,497,514,59.95,299,ST
UR Aggro,http://www.mtgtop8.com/event?e=26839&d=408753&f=ST,Shota Takao,157,170,34.95,138,ST
