Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder
UR Aggro,http://www.mtgtop8.com/event?e=26966&d=411132&f=MO,kbzx,468,813,34.95,135
UR Aggro,http://www.mtgtop8.com/event?e=27247&d=414472&f=MO,Komikado Hayato,429,765,34.95,209
UR Aggro,http://www.mtgtop8.com/event?e=27147&d=413554&f=MO,rcazcueta,459,834,34.95,166
Izzet Blitz,http://www.mtgtop8.com/event?e=27404&d=417450&f=MO,Maximilian Schutter,564,907,34.95,240
Eldrazi Aggro,http://www.mtgtop8.com/event?e=27309&d=416302&f=MO,Ishikawa Kousuke,594,699,34.95,160
Eldra Tron,http://www.mtgtop8.com/event?e=27344&d=416806&f=MO,Kobayashi Tatsuumi,608,587,34.95,311
Bant Eldrazi,http://www.mtgtop8.com/event?e=27236&d=414356&f=MO,Hervé Brocker,530,897,34.95,126
Eldra Tron,http://www.mtgtop8.com/event?e=27198&d=414007&f=MO,Kobayashi Tatsuumi,608,587,34.95,311
Eldra Tron,http://www.mtgtop8.com/event?e=27160&d=413692&f=MO,Kobayashi Tatsuumi,608,587,34.95,311
Eldra Tron,http://www.mtgtop8.com/event?e=27247&d=414469&f=MO,Kaneko Seiya,787,760,34.95,305
Eldratron,http://www.mtgtop8.com/event?e=27155&d=413649&f=MO,Cédric Roy,655,637,34.95,309
Eldra Tron,http://www.mtgtop8.com/event?e=26966&d=411123&f=MO,Snusnumrick,621,594,34.95,317
Eldra Tron,http://www.mtgtop8.com/event?e=26913&d=409912&f=MO,Mukai Takashi,679,657,34.95,323
Eldra Tron,http://www.mtgtop8.com/event?e=27017&d=411718&f=MO,Arimura Masanori,676,647,34.95,333
Eldra Tron,http://www.mtgtop8.com/event?e=26973&d=411208&f=MO,Taguma Kouki,631,614,34.95,315
Eldra Tron,http://www.mtgtop8.com/event?e=26931&d=410190&f=MO,Gen Takatoshi,681,656,34.95,330
Eldra Tron,http://www.mtgtop8.com/event?e=26874&d=409500&f=MO,Tamura Ryouhei,615,591,34.95,310
Eldra Tron,http://www.mtgtop8.com/event?e=26874&d=409504&f=MO,Kikkawa Kento,599,577,34.95,306
Rakdos Aggro,http://www.mtgtop8.com/event?e=27106&d=413195&f=MO,Gerschi,509,881,34.95,218
Eldra Tron,http://www.mtgtop8.com/event?e=26824&d=408445&f=MO,Boku Takashi,681,655,34.95,331
Eldratron,http://www.mtgtop8.com/event?e=26926&d=410030&f=MO,Sablandriel,699,679,34.95,334
Rakdos Aggro,http://www.mtgtop8.com/event?e=27243&d=414442&f=MO,Filippo Simonini,505,879,34.95,274
Rakdos Aggro,http://www.mtgtop8.com/event?e=27101&d=413099&f=MO,fede1,1018,1483,59.95,489
Rakdos Aggro,http://www.mtgtop8.com/event?e=27161&d=413701&f=MO,Thrall90,662,1019,34.95,292
Rakdos Aggro,http://www.mtgtop8.com/event?e=27161&d=413699&f=MO,Gerschi,511,875,34.95,218
Eldra Tron,http://www.mtgtop8.com/event?e=26833&d=408545&f=MO,Miyagishi Kouki,653,655,34.95,311
Eldra Tron,http://www.mtgtop8.com/event?e=26861&d=409363&f=MO,Kawasaki Kyouhei,693,673,34.95,327
Rakdos Aggro,http://www.mtgtop8.com/event?e=27387&d=417215&f=MO,Kobayashi Shigeyuki,543,906,34.95,274
Rakdos Aggro,http://www.mtgtop8.com/event?e=27296&d=416187&f=MO,junior97,1018,1490,59.95,489
Rakdos Aggro,http://www.mtgtop8.com/event?e=27022&d=411744&f=MO,Theo_Jung,530,912,34.95,272
Eldra Tron,http://www.mtgtop8.com/event?e=26791&d=407915&f=MO,Guillaume Bastien,703,658,34.95,329
Rakdos Aggro,http://www.mtgtop8.com/event?e=27152&d=413630&f=MO,Filippo Simonini,482,854,34.95,273
Rakdos Aggro,http://www.mtgtop8.com/event?e=27184&d=413876&f=MO,Dlihchtarw,1018,1482,59.95,489
Rakdos Aggro,http://www.mtgtop8.com/event?e=27098&d=413071&f=MO,Filippo Simonini,482,863,34.95,273
Rakdos Aggro,http://www.mtgtop8.com/event?e=27309&d=416303&f=MO,Yamamoto Daisuke,676,773,34.95,257
Rakdos Aggro,http://www.mtgtop8.com/event?e=27233&d=414328&f=MO,mstuff63,561,930,34.95,266
Rakdos Aggro,http://www.mtgtop8.com/event?e=27022&d=411739&f=MO,Volollo,502,900,34.95,225
Rakdos Aggro,http://www.mtgtop8.com/event?e=27021&d=411733&f=MO,karatedom,572,959,34.95,276
Rakdos Midrange,http://www.mtgtop8.com/event?e=26977&d=411261&f=MO,Albyz,769,1197,59.95,408
Human,http://www.mtgtop8.com/event?e=27403&d=417441&f=MO,Arrias,831,820,34.95,348
Rakdos Aggro,http://www.mtgtop8.com/event?e=26805&d=408084&f=MO,romanmy,510,872,34.95,220
Rakdos Aggro,http://www.mtgtop8.com/event?e=26965&d=411106&f=MO,Rav104,578,955,34.95,224
Gixis Death's Shadow,http://www.mtgtop8.com/event?e=27211&d=414102&f=MO,Thibaud Zemp,723,896,34.95,189
Rakdos Aggro,http://www.mtgtop8.com/event?e=26965&d=411102&f=MO,aplapp,509,882,34.95,238
Death's Shadow,http://www.mtgtop8.com/event?e=27184&d=413879&f=MO,__BMJ__,978,1305,59.95,391
Jund Death's Shadow,http://www.mtgtop8.com/event?e=27101&d=413100&f=MO,B1gDan,958,1303,59.95,319
Death's Shadow,http://www.mtgtop8.com/event?e=27330&d=416573&f=MO,Skrown,613,820,34.95,182
Rakdos Aggro,http://www.mtgtop8.com/event?e=26965&d=411104&f=MO,exoticherman,541,914,34.95,263
Death's Shadow,http://www.mtgtop8.com/event?e=27353&d=416907&f=MO,hcook725,626,731,34.95,227
