Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder
Red Deck Wins,http://www.mtgtop8.com/event?e=27448&d=418022&f=ST,komattaman,121,123,9.95,48
Red Deck Wins,http://www.mtgtop8.com/event?e=27390&d=417321&f=ST,Matheus Akio Yanagiura,155,121,9.95,62
Red Deck Wins,http://www.mtgtop8.com/event?e=27448&d=418011&f=ST,jankyb,110,120,9.95,47
Red Deck Wins,http://www.mtgtop8.com/event?e=27340&d=416778&f=ST,Jeffrey Morra,115,128,9.95,57
Red Deck Wins,http://www.mtgtop8.com/event?e=27348&d=416859&f=ST,Tyler Heule,113,119,9.95,49
Winota,http://www.mtgtop8.com/event?e=27030&d=411807&f=ST,Spencer Howland,114,121,9.95,49
Rakdos Aggro,http://www.mtgtop8.com/event?e=27143&d=413502&f=ST,Zack Fink,205,221,9.95,84
Rakdos Aggro,http://www.mtgtop8.com/event?e=27229&d=414274&f=ST,Hosokawa Yuuya,206,229,9.95,104
Rakdos Aggro,http://www.mtgtop8.com/event?e=27423&d=417733&f=ST,Morii Kenta,234,253,34.95,133
Rakdos Aggro,http://www.mtgtop8.com/event?e=27317&d=416412&f=ST,Tarik Browne,222,243,9.95,113
Winota,http://www.mtgtop8.com/event?e=27386&d=417204&f=ST,Kikuchi?shuji,184,182,9.95,71
Rakdos Aggro,http://www.mtgtop8.com/event?e=27329&d=416547&f=ST,msskinbolic,206,189,9.95,55
Rakdos Aggro,http://www.mtgtop8.com/event?e=27340&d=416776&f=ST,Theshunned,227,260,9.95,45
Rakdos Aggro,http://www.mtgtop8.com/event?e=27231&d=414297&f=ST,_Falcon_,211,221,9.95,93
Rakdos Aggro,http://www.mtgtop8.com/event?e=27379&d=417148&f=ST,bolov0,207,190,9.95,55
Rakdos Aggro,http://www.mtgtop8.com/event?e=27386&d=417206&f=ST,Iwamoto Junji,224,202,9.95,89
Rakdos Aggro,http://www.mtgtop8.com/event?e=27433&d=417849&f=ST,Florian Klein,251,205,34.95,159
Winota,http://www.mtgtop8.com/event?e=27001&d=411527&f=ST,Rashid Davis,291,290,34.95,142
Rakdos Aggro,http://www.mtgtop8.com/event?e=27231&d=414305&f=ST,Promidnightz,243,225,9.95,97
Rakdos Aggro,http://www.mtgtop8.com/event?e=27231&d=414304&f=ST,rastaf,206,189,9.95,55
Rakdos Aggro,http://www.mtgtop8.com/event?e=27329&d=416550&f=ST,Oliver_Hart,199,209,9.95,84
Rakdos Aggro,http://www.mtgtop8.com/event?e=27308&d=416295&f=ST,Suzuki Makoto,221,197,34.95,125
Winota,http://www.mtgtop8.com/event?e=27329&d=416554&f=ST,paucr5,272,277,9.95,98
Winota,http://www.mtgtop8.com/event?e=27194&d=413960&f=ST,Paulo Henrique Santos,272,277,9.95,98
Rakdos Aggro,http://www.mtgtop8.com/event?e=27390&d=417318&f=ST,Mitch Evett,274,228,34.95,165
Rakdos Aggro,http://www.mtgtop8.com/event?e=27379&d=417143&f=ST,Xuxa,186,198,9.95,66
Rakdos Aggro,http://www.mtgtop8.com/event?e=27329&d=416549&f=ST,_Falcon_,206,189,9.95,54
Winota,http://www.mtgtop8.com/event?e=26961&d=410965&f=ST,Angel_of_grace,265,273,9.95,91
Winota,http://www.mtgtop8.com/event?e=27157&d=413659&f=ST,Inaste Noquar,258,264,9.95,78
Rakdos Aggro,http://www.mtgtop8.com/event?e=27348&d=416852&f=ST,Zack Fink,196,212,9.95,79
Rakdos Aggro,http://www.mtgtop8.com/event?e=27231&d=414296&f=ST,pokerswizard,243,226,9.95,97
Rakdos Aggro,http://www.mtgtop8.com/event?e=27231&d=414298&f=ST,Thommimp,176,185,9.95,60
6 Winota,http://www.mtgtop8.com/event?e=27042&d=412052&f=ST,Mitch Sachs,309,308,34.95,110
Winota,http://www.mtgtop8.com/event?e=27258&d=414580&f=ST,GYBA,258,264,9.95,78
Winota,http://www.mtgtop8.com/event?e=27258&d=414591&f=ST,wilson5434,272,277,9.95,98
Winota,http://www.mtgtop8.com/event?e=26898&d=409716&f=ST,Case Johnson,194,186,9.95,88
Winota,http://www.mtgtop8.com/event?e=26878&d=409542&f=ST,David Pierce,265,275,9.95,90
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27302&d=416231&f=ST,Ignacio Villasuso,688,850,59.95,288
Winota,http://www.mtgtop8.com/event?e=26881&d=409573&f=ST,Mitch Sachs,314,310,34.95,110
Temur Flash,http://www.mtgtop8.com/event?e=27157&d=413656&f=ST,Gustavo Martins Da Silva,480,463,34.95,258
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27225&d=414256&f=ST,Jeffrey Lynch,688,850,59.95,288
Winota,http://www.mtgtop8.com/event?e=26938&d=410258&f=ST,Theresa Connah-haymond,194,186,9.95,88
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27225&d=414246&f=ST,Bombhunter12,621,728,34.95,235
Winota,http://www.mtgtop8.com/event?e=26969&d=411154&f=ST,Theresa Connah-haymond,194,186,9.95,88
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27239&d=414385&f=ST,Bombhunter12,621,728,34.95,235
Temur Aggro,http://www.mtgtop8.com/event?e=27418&d=417651&f=ST,Mooch,434,354,34.95,279
Temur Aggro,http://www.mtgtop8.com/event?e=27424&d=417747&f=ST,Mooch,434,359,34.95,281
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27136&d=413459&f=ST,Shawn Montgomery,678,847,34.95,292
Temur Aggro,http://www.mtgtop8.com/event?e=27246&d=414459&f=ST,Sawada Ken,398,390,34.95,194
Temur Flash,http://www.mtgtop8.com/event?e=27040&d=411922&f=ST,Luke Hartmann,509,493,34.95,258
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27133&d=413424&f=ST,Shawn Montgomery,666,821,34.95,288
Winota,http://www.mtgtop8.com/event?e=26969&d=411150&f=ST,Adam B,362,357,34.95,197
Temur Flash Aggro,http://www.mtgtop8.com/event?e=27014&d=411681&f=ST,Alac Springer,492,505,34.95,263
Temur Flash Aggro,http://www.mtgtop8.com/event?e=27307&d=416278&f=ST,Gustavo Martins Da Silva,453,450,34.95,229
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27239&d=414371&f=ST,Jeffrey Lynch,688,850,59.95,288
6 Temur Elemental,http://www.mtgtop8.com/event?e=27045&d=412519&f=ST,S S,569,604,59.95,282
Temur Elemental,http://www.mtgtop8.com/event?e=27005&d=411567&f=ST,Santos Nic,626,702,59.95,294
Winota,http://www.mtgtop8.com/event?e=26930&d=410187&f=ST,Mitch Sachs,314,312,34.95,110
Winota,http://www.mtgtop8.com/event?e=26902&d=409762&f=ST,Guido Quintana,268,274,9.95,82
6 Winota,http://www.mtgtop8.com/event?e=26930&d=410175&f=ST,Simon Nielsen,277,282,9.95,74
Winota,http://www.mtgtop8.com/event?e=26945&d=410316&f=ST,David Pierce,148,149,9.95,77
Temur Flash Aggro,http://www.mtgtop8.com/event?e=27034&d=411882&f=ST,Gustavo Martins Da Silva,524,505,34.95,279
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27045&d=412548&f=ST,Takumi Yamasaki,646,807,34.95,269
Temur Elemental,http://www.mtgtop8.com/event?e=27037&d=411903&f=ST,Vitor Botechi,522,553,34.95,275
Temur Yorion Elementals,http://www.mtgtop8.com/event?e=27037&d=411902&f=ST,Lucas Otuzi,704,844,59.95,313
Mono Black Aggro,http://www.mtgtop8.com/event?e=27321&d=416462&f=ST,Matheus Da Silva,112,130,9.95,60
Mono Black Aggro,http://www.mtgtop8.com/event?e=27423&d=417735&f=ST,Iwamoto Daisuke,95,102,9.95,31
Mono Black Aggro,http://www.mtgtop8.com/event?e=27423&d=417729&f=ST,Matsushika Kouhei,120,105,9.95,59
Mono Black Aggro,http://www.mtgtop8.com/event?e=27027&d=411776&f=ST,Yojiro Futamata,162,118,9.95,67
Mono Black Aggro,http://www.mtgtop8.com/event?e=27071&d=412753&f=ST,David Pierce,142,129,9.95,94
Mono Black Aggro,http://www.mtgtop8.com/event?e=27194&d=413962&f=ST,Matheus Da Silva,160,147,9.95,72
Mono Black Aggro,http://www.mtgtop8.com/event?e=26957&d=410921&f=ST,Sven Restel,138,126,9.95,93
Mono Black Aggro,http://www.mtgtop8.com/event?e=27142&d=413499&f=ST,Yamada Tsuyoki,175,160,9.95,78
Mono Black Aggro,http://www.mtgtop8.com/event?e=27142&d=413496&f=ST,Kikuchi Shuji,159,143,9.95,75
Mono Black Aggro,http://www.mtgtop8.com/event?e=26835&d=408562&f=ST,Kikuchi Shuji,158,142,9.95,69
Mono Black Aggro,http://www.mtgtop8.com/event?e=26802&d=408036&f=ST,Marcelo Adao,122,110,9.95,62
Mono Black Aggro,http://www.mtgtop8.com/event?e=26834&d=408556&f=ST,Jerome Cruz,18,34,9.95,2
Mono Black Aggro,http://www.mtgtop8.com/event?e=26968&d=411139&f=ST,Oda Masao,83,101,9.95,55
Mono Black Aggro,http://www.mtgtop8.com/event?e=26735&d=407273&f=ST,Allan Araujo Gontijo,117,102,9.95,56
Gruul Aggro,http://www.mtgtop8.com/event?e=27390&d=417316&f=ST,Zachary Borotsik,503,262,34.95,194
Mono Black Aggro,http://www.mtgtop8.com/event?e=26731&d=407223&f=ST,Allen Sun,145,132,9.95,72
Mono Black Aggro,http://www.mtgtop8.com/event?e=26734&d=407264&f=ST,Claudio De Marco,116,101,9.95,56
6 Mono Black Aggro,http://www.mtgtop8.com/event?e=26950&d=410838&f=ST,Reamonn Behal,126,113,9.95,68
Gruul Adventure Aggro,http://www.mtgtop8.com/event?e=27418&d=417650&f=ST,Rezedentgenius,303,299,34.95,120
Gruul Aggro,http://www.mtgtop8.com/event?e=27393&d=417363&f=ST,Robert Taylor,409,268,59.95,218
Gruul Aggro,http://www.mtgtop8.com/event?e=27445&d=417987&f=ST,Howen King,80,85,9.95,33
Mono Black Aggro,http://www.mtgtop8.com/event?e=26766&d=407603&f=ST,Gage Bunting,115,104,9.95,57
Mono Black Aggro,http://www.mtgtop8.com/event?e=26826&d=408466&f=ST,Alejandro Solís,137,120,9.95,71
Gruul Aggro,http://www.mtgtop8.com/event?e=27408&d=417491&f=ST,Jason Fleurant,408,274,34.95,216
Gruul Adventure Aggro,http://www.mtgtop8.com/event?e=27434&d=417853&f=ST,Carlos Lopez,308,233,34.95,146
Mono Black Aggro,http://www.mtgtop8.com/event?e=26825&d=408459&f=ST,Alejandro Solís,137,121,9.95,71
Gruul Aggro,http://www.mtgtop8.com/event?e=27390&d=417320&f=ST,Tom Maxwell,409,269,59.95,217
