Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder
UW Spirit Aggro,http://www.mtgtop8.com/event?e=26893&d=409674&f=PI,Nydethess,184,200,9.95,106
UW Spirit Aggro,http://www.mtgtop8.com/event?e=26937&d=410245&f=PI,Sahara Kohei,198,218,9.95,56
Spirit Aggro,http://www.mtgtop8.com/event?e=26873&d=409494&f=PI,Maryuu Soutarou,384,410,34.95,106
Spirit Aggro,http://www.mtgtop8.com/event?e=26893&d=409672&f=PI,RearrangedAS,300,309,34.95,138
RDW,http://www.mtgtop8.com/event?e=27322&d=416467&f=PI,Igarashi Tomohiro,208,208,9.95,111
Spirit Aggro,http://www.mtgtop8.com/event?e=26937&d=410241&f=PI,Iwazaki Yuta,369,387,9.95,100
UW Spirit Aggro,http://www.mtgtop8.com/event?e=27159&d=413689&f=PI,Nakano Yuusuke,212,217,9.95,99
Red Deck Wins,http://www.mtgtop8.com/event?e=27241&d=414409&f=PI,_Shatun_,156,180,34.95,126
RDW,http://www.mtgtop8.com/event?e=27226&d=414261&f=PI,Terasawa Yu,212,219,34.95,107
Red Deck Wins,http://www.mtgtop8.com/event?e=27175&d=413813&f=PI,_Shatun_,156,179,34.95,126
Red Deck Wins,http://www.mtgtop8.com/event?e=27183&d=413863&f=PI,_Shatun_,156,179,34.95,126
RDW,http://www.mtgtop8.com/event?e=27159&d=413690&f=PI,Osanai Yuuma,212,219,34.95,107
Red Deck Wins,http://www.mtgtop8.com/event?e=27077&d=412853&f=PI,ShowTime_,156,179,34.95,126
RDW,http://www.mtgtop8.com/event?e=27010&d=411641&f=PI,Goatloving,175,174,9.95,76
RDW,http://www.mtgtop8.com/event?e=27158&d=413687&f=PI,Nakajima Shunichi,212,219,34.95,107
Red Deck Wins,http://www.mtgtop8.com/event?e=27010&d=411639&f=PI,ShowTime_,159,177,34.95,123
Red Deck Wins,http://www.mtgtop8.com/event?e=26736&d=407278&f=PI,William Richards,90,111,9.95,82
Boros Burn,http://www.mtgtop8.com/event?e=26937&d=410244&f=PI,Tanaka Shun,208,202,9.95,103
Red Deck Wins,http://www.mtgtop8.com/event?e=26934&d=410209&f=PI,Wizard_2002,153,179,34.95,117
Red Deck Wins,http://www.mtgtop8.com/event?e=26651&d=406068&f=PI,jbtwist,148,166,34.95,123
Red Deck Wins,http://www.mtgtop8.com/event?e=26905&d=409808&f=PI,Th00mor,184,228,34.95,106
